year,suburb,res_type,seat_indoor,seat_outdoor,all_seat
2002,Carlton,Cafes and Restaurants,9198.0,1903.0,11101.0
2002,Carlton,"Pubs, Taverns and Bars",1189.0,192.0,1381.0
2002,Carlton,Takeaway Food Services,167.0,86.0,253.0
2002,Docklands,Cafes and Restaurants,4699.0,226.0,4925.0
2002,Docklands,Takeaway Food Services,12.0,0.0,12.0
2002,East Melbourne,Cafes and Restaurants,2746.0,171.0,2917.0
2002,East Melbourne,Takeaway Food Services,51.0,9.0,60.0
2002,Kensington,Cafes and Restaurants,52.0,32.0,84.0
2002,Kensington,Takeaway Food Services,30.0,0.0,30.0
2002,Melbourne (CBD),Cafes and Restaurants,42369.0,4814.0,47183.0
2002,Melbourne (CBD),"Pubs, Taverns and Bars",7034.0,428.0,7462.0
2002,Melbourne (CBD),Takeaway Food Services,1169.0,516.0,1685.0
2002,Melbourne (Remainder),Cafes and Restaurants,6293.0,614.0,6907.0
2002,Melbourne (Remainder),Takeaway Food Services,42.0,34.0,76.0
2002,North Melbourne,Cafes and Restaurants,1171.0,177.0,1348.0
2002,North Melbourne,"Pubs, Taverns and Bars",1071.0,0.0,1071.0
2002,North Melbourne,Takeaway Food Services,187.0,48.0,235.0
2002,Parkville,Cafes and Restaurants,926.0,222.0,1148.0
2002,Parkville,"Pubs, Taverns and Bars",118.0,0.0,118.0
2002,Parkville,Takeaway Food Services,49.0,73.0,122.0
2002,Port Melbourne,Cafes and Restaurants,67.0,24.0,91.0
2002,South Yarra,Cafes and Restaurants,522.0,68.0,590.0
2002,Southbank,Cafes and Restaurants,5582.0,1830.0,7412.0
2002,Southbank,"Pubs, Taverns and Bars",100.0,0.0,100.0
2002,Southbank,Takeaway Food Services,38.0,9.0,47.0
2002,West Melbourne,Cafes and Restaurants,1502.0,141.0,1643.0
2002,West Melbourne,"Pubs, Taverns and Bars",1014.0,46.0,1060.0
2002,West Melbourne,Takeaway Food Services,74.0,16.0,90.0
2003,Carlton,Cafes and Restaurants,9171.0,2383.0,11554.0
2003,Carlton,"Pubs, Taverns and Bars",1477.0,257.0,1734.0
2003,Carlton,Takeaway Food Services,262.0,99.0,361.0
2003,Docklands,Cafes and Restaurants,6048.0,986.0,7034.0
2003,East Melbourne,Cafes and Restaurants,3768.0,290.0,4058.0
2003,East Melbourne,Takeaway Food Services,38.0,9.0,47.0
2003,Kensington,Cafes and Restaurants,52.0,32.0,84.0
2003,Kensington,Takeaway Food Services,30.0,0.0,30.0
2003,Melbourne (CBD),Cafes and Restaurants,42369.0,4814.0,47183.0
2003,Melbourne (CBD),"Pubs, Taverns and Bars",7034.0,428.0,7462.0
